,City,Suburb,Street,Box,Latitude,Longitude
0,PORT ELIZABETH,ALGOAPARK,6005,6001,-33.901075,25.559227
1,PORT ELIZABETH,BETHELSDORP,6003,6059,-30.559482,22.937506
2,PORT ELIZABETH,BLUEWATER BAY,6212,6210,-33.85079,25.633233
3,PORT ELIZABETH,CENTRAHIL,6006,6001,-33.96219,25.612513
4,PORT ELIZABETH,CENTRAL,6006,6001,-33.96219,25.612513
5,PORT ELIZABETH,CHATTY,6062,6059,-30.559482,22.937506
6,PORT ELIZABETH,CLEARY PARK,6035,6059,-30.559482,22.937506
7,PORT ELIZABETH,COCKETTS HOPE,6000,6001,-30.559482,22.937506
8,PORT ELIZABETH,COLCHESTER,6175,6001,-33.694612,25.80781
9,PORT ELIZABETH,COLLEEN GLEN,6018,NaN,-33.977415,25.414119
10,PORT ELIZABETH,DRIFTSANDS,6000,NaN,-30.559482,22.937506
11,PORT ELIZABETH,EMERALD HILL,6011,6070,-34.011042,25.591792
12,PORT ELIZABETH,ESTADEAL,6012,NaN,-30.559482,22.937506
13,PORT ELIZABETH,GAMBLEVILLE,6241,6241,-33.736681,25.381534
14,PORT ELIZABETH,GAMTOOS,6360,NaN,-33.958233,25.054013
15,PORT ELIZABETH,GELVANDALE,6016,6020,-33.91802,25.553305
16,PORT ELIZABETH,GOVAN MBEKI,6027,NaN,-33.857764,25.537021
17,PORT ELIZABETH,GREENACRES,6057,6045,-33.950216,25.57847
18,PORT ELIZABETH,GREENBUSHES,6390,NaN,-33.915506,25.423005
19,PORT ELIZABETH,HUMEWOOD,6013,6001,-33.978065,25.640632
20,PORT ELIZABETH,HUNTER'S RETREAT,6017,6025,-33.949383,25.458548
21,PORT ELIZABETH,JOHNSON SQUARE,6001,NaN,-33.931624,25.597712
22,PORT ELIZABETH,KINKELBOS,6188,NaN,-30.559482,22.937506
23,PORT ELIZABETH,KORSTEN,6014,6020,-33.923195,25.57699
24,PORT ELIZABETH,KWAZAKHELE,6205,6205,-33.874342,25.574029
25,PORT ELIZABETH,LAKESIDE,6017,NaN,-33.949383,25.458548
26,PORT ELIZABETH,LINTON GRANGE,6015,6025,-33.934674,25.519255
27,PORT ELIZABETH,MALABAR,6026,6020,-33.921952,25.535541
28,PORT ELIZABETH,MELON,6365,NaN,-30.559482,22.937506
29,PORT ELIZABETH,MISSIONVALE,6001,6059,-33.931624,25.597712
30,PORT ELIZABETH,MOTHERWELL,6213,6211,-33.775891,25.582911
31,PORT ELIZABETH,NCANARA,6180,NaN,-30.559482,22.937506
32,PORT ELIZABETH,NEW BRIGHTON,6200,6200,-30.559482,22.937506
33,PORT ELIZABETH,NEWTON PARK,6055,6045,-33.946658,25.565148
34,PORT ELIZABETH,NOORDEINDE,6056,6001,-33.941701,25.605113
35,PORT ELIZABETH,NORTH END,6056,6001,-33.941701,25.605113
36,PORT ELIZABETH,PERSEVERANCE,6220,NaN,-33.806595,25.502969
37,PORT ELIZABETH,REDHOUSE,6215,6201,-33.835251,25.562187
38,PORT ELIZABETH,SALTVILLE,6058,6059,-30.559482,22.937506
39,PORT ELIZABETH,SCHAUDERVILLE,6060,6020,-30.559482,22.937506
40,PORT ELIZABETH,SEA VIEW,6011,6070,-34.011042,25.591792
41,PORT ELIZABETH,SENTRAAL,6006,6001,-33.96219,25.612513
42,PORT ELIZABETH,SHERWOOD,6034,6025,-33.962072,25.477798
43,PORT ELIZABETH,SIDWELL,6061,6001,-30.559482,22.937506
44,PORT ELIZABETH,SOUTHDENE,6000,NaN,-30.559482,22.937506
45,PORT ELIZABETH,ST ALBANS,6385,NaN,-33.912378,25.345242
46,PORT ELIZABETH,STRUANDALE,6000,6001,-30.559482,22.937506
47,PORT ELIZABETH,SUMMERSTRAND,6019,6001,-33.991358,25.656911
48,PORT ELIZABETH,SUNRIDGE PARK,6008,6045,-33.954526,25.529619
49,PORT ELIZABETH,SWARTKOPS,6209,6210,-33.874266,25.621393
50,PORT ELIZABETH,THE BRIDGE,6032,NaN,-30.559482,22.937506
51,PORT ELIZABETH,THE FIG TREE,6033,NaN,-30.559482,22.937506
52,PORT ELIZABETH,TSITSIKAMMA,6309,NaN,-30.559482,22.937506
53,PORT ELIZABETH,UNIVERSITY OF PORT ELIZABETH,6031,NaN,-30.559482,22.937506
54,PORT ELIZABETH,WALMER,6065,6070,-33.975915,25.585871
55,PORT ELIZABETH,WOLWEFONTEIN,6237,NaN,-30.559482,22.937506
56,PORT ELIZABETH,ZWIDE,6204,6201,-33.865408,25.552565
